line_no,db_id,question,gold_sql,pred_sql,em,agg_match,sel_match,cond_match,fail_reason,fail_category,gold_struct,pred_struct
1,1-10015132-11,What position does the player who played for butler cc (ks) play?,SELECT col3 FROM table WHERE col5 = 'Butler CC (KS)',SELECT position FROM wikisql_data WHERE school_club_team = 'butler cc (ks)',True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[5, 0, ""butler cc (ks)""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[5, 0, ""butler cc (ks)""]], ""count_star"": false}"
2,1-10015132-11,How many schools did player number 3 play at?,SELECT COUNT(col5) FROM table WHERE col1 = '3',SELECT COUNT(DISTINCT school_club_team) FROM wikisql_data WHERE no_col = 3,True,True,True,True,ok,ok,"{""agg"": 3, ""sel"": 5, ""conds"": [[1, 0, 3]], ""count_star"": false}","{""agg"": 3, ""sel"": 5, ""conds"": [[1, 0, 3]], ""count_star"": false}"
3,1-10015132-11,What school did player number 21 play for?,SELECT col5 FROM table WHERE col1 = '21',SELECT school_club_team FROM wikisql_data WHERE no_col = 21,True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[1, 0, 21]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[1, 0, 21]], ""count_star"": false}"
4,1-10015132-11,Who is the player that wears number 42?,SELECT col0 FROM table WHERE col1 = '42',SELECT player FROM wikisql_data WHERE no_col = 42,True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, 42]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, 42]], ""count_star"": false}"
5,1-10015132-11,What player played guard for toronto in 1996-97?,SELECT col0 FROM table WHERE col3 = 'Guard' AND col4 = '1996-97',SELECT player FROM wikisql_data WHERE position = 'guard' AND years_in_toronto = '1996-97',True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""guard""], [4, 0, ""1996-97""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""guard""], [4, 0, ""1996-97""]], ""count_star"": false}"
6,1-10015132-9,Who are all of the players on the Westchester High School club team?,SELECT col0 FROM table WHERE col5 = 'Westchester High School',SELECT player FROM wikisql_data WHERE school_club_team = 'westchester high school',True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""westchester high school""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""westchester high school""]], ""count_star"": false}"
7,1-10015132-9,What school/club team is Amir Johnson on?,SELECT col5 FROM table WHERE col0 = 'Amir Johnson',SELECT school_club_team FROM wikisql_data WHERE player = 'amir johnson',True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, ""amir johnson""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, ""amir johnson""]], ""count_star"": false}"
8,1-10015132-9,What are the total amount of numbers on the Toronto team in 2005-06?,SELECT COUNT(col1) FROM table WHERE col4 = '2005-06',SELECT COUNT(*) FROM wikisql_data WHERE years_in_toronto = '2005-06',True,True,True,True,ok,ok,"{""agg"": 3, ""sel"": 1, ""conds"": [[4, 0, ""2005-06""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[4, 0, ""2005-06""]], ""count_star"": true}"
9,1-10015132-9,What are the total number of positions on the Toronto team in 2006-07?,SELECT COUNT(col3) FROM table WHERE col4 = '2006-07',SELECT COUNT(position) FROM wikisql_data WHERE years_in_toronto = '2006-07',True,True,True,True,ok,ok,"{""agg"": 3, ""sel"": 3, ""conds"": [[4, 0, ""2006-07""]], ""count_star"": false}","{""agg"": 3, ""sel"": 3, ""conds"": [[4, 0, ""2006-07""]], ""count_star"": false}"
10,1-10015132-9,What are the nationality of the players on the Fresno State school/club team?,SELECT col2 FROM table WHERE col5 = 'Fresno State',SELECT nationality FROM wikisql_data WHERE school_club_team = 'fresno state',True,True,True,True,ok,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[5, 0, ""fresno state""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[5, 0, ""fresno state""]], ""count_star"": false}"
