line_no,db_id,question,gold_sql,pred_sql,em,agg_match,sel_match,cond_match,fail_reason,gold_struct,pred_struct
1,1-10015132-11,What position does the player who played for butler cc (ks) play?,SELECT col3 FROM table WHERE col5 = 'Butler CC (KS)',SELECT position FROM wikisql_data WHERE school_club_team = 'butler cc (ks)',True,True,True,True,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[5, 0, ""butler cc (ks)""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[5, 0, ""butler cc (ks)""]], ""count_star"": false}"
2,1-10015132-11,How many schools did player number 3 play at?,SELECT COUNT(col5) FROM table WHERE col1 = '3',SELECT COUNT(DISTINCT school_club_team) FROM wikisql_data WHERE no_col = 3,True,True,True,True,ok,"{""agg"": 3, ""sel"": 5, ""conds"": [[1, 0, 3]], ""count_star"": false}","{""agg"": 3, ""sel"": 5, ""conds"": [[1, 0, 3]], ""count_star"": false}"
3,1-10015132-11,What school did player number 21 play for?,SELECT col5 FROM table WHERE col1 = '21',SELECT school_club_team FROM wikisql_data WHERE no_col = 21,True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[1, 0, 21]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[1, 0, 21]], ""count_star"": false}"
4,1-10015132-11,Who is the player that wears number 42?,SELECT col0 FROM table WHERE col1 = '42',SELECT player FROM wikisql_data WHERE no_col = 42,True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, 42]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, 42]], ""count_star"": false}"
5,1-10015132-11,What player played guard for toronto in 1996-97?,SELECT col0 FROM table WHERE col3 = 'Guard' AND col4 = '1996-97',SELECT player FROM wikisql_data WHERE position = 'guard' AND years_in_toronto = '1996-97',False,True,True,False,"cond(gold=[[3, 0, 'guard']] pred=[[3, 0, 'guard'], [4, 0, '1996-97']])","{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""guard""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[3, 0, ""guard""], [4, 0, ""1996-97""]], ""count_star"": false}"
6,1-10015132-9,Who are all of the players on the Westchester High School club team?,SELECT col0 FROM table WHERE col5 = 'Westchester High School',SELECT player FROM wikisql_data WHERE school_club_team = 'westchester high school',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""westchester high school""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[5, 0, ""westchester high school""]], ""count_star"": false}"
7,1-10015132-9,What school/club team is Amir Johnson on?,SELECT col5 FROM table WHERE col0 = 'Amir Johnson',SELECT school_club_team FROM wikisql_data WHERE player = 'amir johnson',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, ""amir johnson""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, ""amir johnson""]], ""count_star"": false}"
8,1-10015132-9,What are the total amount of numbers on the Toronto team in 2005-06?,SELECT COUNT(col1) FROM table WHERE col4 = '2005-06',SELECT COUNT(*) FROM wikisql_data WHERE years_in_toronto = '2005-06',False,True,False,True,sel(gold=1=No. pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 1, ""conds"": [[4, 0, ""2005-06""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[4, 0, ""2005-06""]], ""count_star"": true}"
9,1-10015132-9,What are the total number of positions on the Toronto team in 2006-07?,SELECT COUNT(col3) FROM table WHERE col4 = '2006-07',SELECT COUNT(position) FROM wikisql_data WHERE years_in_toronto = '2006-07',True,True,True,True,ok,"{""agg"": 3, ""sel"": 3, ""conds"": [[4, 0, ""2006-07""]], ""count_star"": false}","{""agg"": 3, ""sel"": 3, ""conds"": [[4, 0, ""2006-07""]], ""count_star"": false}"
10,1-10015132-9,What are the nationality of the players on the Fresno State school/club team?,SELECT col2 FROM table WHERE col5 = 'Fresno State',SELECT nationality FROM wikisql_data WHERE school_club_team = 'fresno state',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[5, 0, ""fresno state""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[5, 0, ""fresno state""]], ""count_star"": false}"
11,1-10015132-9,What school/club team is Trey Johnson on?,SELECT col5 FROM table WHERE col0 = 'Trey Johnson',SELECT school_club_team FROM wikisql_data WHERE player = 'trey johnson',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, ""trey johnson""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, ""trey johnson""]], ""count_star"": false}"
12,1-10026563-1,When did Jacques Chirac stop being a G8 leader?,SELECT col2 FROM table WHERE col3 = 'Jacques Chirac',SELECT ended_time_as_senior_g8_leader FROM wikisql_data WHERE person = 'Jacques Chirac',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[3, 0, ""jacques chirac""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[3, 0, ""jacques chirac""]], ""count_star"": false}"
13,1-10026563-1,When did the Prime Minister of Italy take office?,SELECT col0 FROM table WHERE col4 = 'Prime Minister of Italy',SELECT began_time_as_senior_g8_leader FROM wikisql_data WHERE office = 'prime minister of italy',False,True,False,True,sel(gold=0=Entered office as Head of State or Government pred=1=Began time as senior G8 leader),"{""agg"": 0, ""sel"": 0, ""conds"": [[4, 0, ""prime minister of italy""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""prime minister of italy""]], ""count_star"": false}"
14,1-1008653-1,What is the English name of the country whose official native language is Dutch Papiamento?,SELECT col0 FROM table WHERE col4 = 'Dutch Papiamento',SELECT country_endonym FROM wikisql_data WHERE official_or_native_language_s_alphabet_script = 'dutch papiamento',False,True,False,True,sel(gold=0=Country ( exonym ) pred=2=Country ( endonym )),"{""agg"": 0, ""sel"": 0, ""conds"": [[4, 0, ""dutch papiamento""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[4, 0, ""dutch papiamento""]], ""count_star"": false}"
15,1-1008653-1,What official or native languages are spoken in the country whose capital city is Canberra?,SELECT col4 FROM table WHERE col1 = 'Canberra',SELECT official_or_native_language_s_alphabet_script FROM wikisql_data WHERE capital_endonym = 'canberra',False,True,True,False,"cond(gold=[[1, 0, 'canberra']] pred=[[3, 0, 'canberra']])","{""agg"": 0, ""sel"": 4, ""conds"": [[1, 0, ""canberra""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[3, 0, ""canberra""]], ""count_star"": false}"
16,1-1008653-1,What is the local name given to the city of Canberra?,SELECT col3 FROM table WHERE col1 = 'Canberra',SELECT capital_endonym FROM wikisql_data WHERE capital_exonym = 'canberra',True,True,True,True,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""canberra""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""canberra""]], ""count_star"": false}"
17,1-1008653-1,What is the local name given to the capital of Anguilla?,SELECT col3 FROM table WHERE col2 = 'Anguilla',SELECT capital_endonym FROM wikisql_data WHERE country_endonym = 'anguilla',True,True,True,True,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[2, 0, ""anguilla""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[2, 0, ""anguilla""]], ""count_star"": false}"
18,1-1008653-1,What is the English name given to the city of St. John's?,SELECT col1 FROM table WHERE col3 = 'St. John's',SELECT capital_exonym FROM wikisql_data WHERE capital_endonym = 'st. john''s',True,True,True,True,ok,"{""agg"": 0, ""sel"": 1, ""conds"": [[3, 0, ""st. john""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[3, 0, ""st. john""]], ""count_star"": false}"
19,1-1008653-1,How many capital cities does Australia have?,SELECT COUNT(col3) FROM table WHERE col2 = 'Australia',SELECT COUNT(*) FROM wikisql_data WHERE country_endonym = 'australia',False,True,False,True,sel(gold=3=Capital ( endonym ) pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 3, ""conds"": [[2, 0, ""australia""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[2, 0, ""australia""]], ""count_star"": true}"
20,1-10088101-1,The episode with production code 9abx02 was originally aired on what date?,SELECT col5 FROM table WHERE col6 = '9ABX02',SELECT original_air_date FROM wikisql_data WHERE production_code = '9ABX02',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[6, 0, ""9abx02""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[6, 0, ""9abx02""]], ""count_star"": false}"
21,1-10088101-1,What is the episode number that has production code 8abx15?,SELECT MIN(col1) FROM table WHERE col6 = '8ABX15',SELECT no_in_series FROM wikisql_data WHERE production_code = '8ABX15',False,False,True,True,agg(gold=MIN pred=NONE),"{""agg"": 2, ""sel"": 1, ""conds"": [[6, 0, ""8abx15""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[6, 0, ""8abx15""]], ""count_star"": false}"
