idx,db_id,question,hardness,fail_type,gold_sql,pred_sql,error_msg
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",easy,em_only,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?",easy,em_only,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?",easy,exec_mismatch,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age), min(age), max(age) FROM singer WHERE country = 'france'","gold=[(34.5, 25, 43)] | pred=[(None, None, None)]"
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?",easy,em_only,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age), min(age), max(age) FROM singer WHERE country = 'France'",
6,concert_singer,Show the name and the release year of the song by the youngest singer.,easy,em_only,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)",
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,easy,em_only,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)",
10,concert_singer,Show all countries and the number of singers in each country.,medium,em_only,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singer GROUP BY country",
11,concert_singer,How many singers are from each country?,medium,em_only,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singer GROUP BY country",
14,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,easy,em_only,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",
15,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,easy,em_only,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",
16,concert_singer,What is the maximum capacity and the average of all stadiums ?,easy,exec_mismatch,"select max(capacity), average from stadium","SELECT max(capacity), avg(capacity) FROM stadium","gold=[(52500, 730)] | pred=[(52500, 10621.6667)]"
17,concert_singer,What is the average and maximum capacities for all stadiums ?,easy,em_only,"select avg(capacity) ,  max(capacity) from stadium","SELECT avg(capacity), max(capacity) FROM stadium",
18,concert_singer,What is the name and capacity for the stadium with highest average attendance?,easy,em_only,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium WHERE average = ( SELECT MAX(average) FROM stadium )",
19,concert_singer,What is the name and capacity for the stadium with the highest average attendance?,easy,em_only,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium WHERE average = ( SELECT MAX(average) FROM stadium )",
20,concert_singer,How many concerts are there in year 2014 or 2015?,easy,exec_mismatch,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concert WHERE year = 2014 UNION SELECT COUNT(*) FROM concert WHERE year = 2015,"gold=[(6,)] | pred=[(3,)]"
21,concert_singer,How many concerts occurred in 2014 or 2015?,easy,exec_mismatch,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concert WHERE year = 2014 UNION SELECT COUNT(*) FROM concert WHERE year = 2015,"gold=[(6,)] | pred=[(3,)]"
22,concert_singer,Show the stadium name and the number of concerts in each stadium.,hard,em_only,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT t1.name, COUNT(*) FROM stadium t1 JOIN concert t2 ON t1.stadium_id = t2.stadium_id GROUP BY t1.name",
23,concert_singer,"For each stadium, how many concerts play there?",hard,exec_error,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT t1.name, COUNT(*)",no such column: t1.name
24,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,hard,em_only,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT t1.name, t1.capacity FROM stadium AS t1 JOIN concert AS t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year >= 2014 GROUP BY t1.stadium_id ORDER BY COUNT(*) DESC LIMIT 1",
25,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,hard,em_only,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT t1.name, t1.capacity FROM stadium t1 JOIN concert t2 ON t1.stadium_id = t2.stadium_id WHERE t2.year > 2013 GROUP BY t1.stadium_id ORDER BY COUNT(*) DESC LIMIT 1",
31,concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,extra,em_only,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),
32,concert_singer,What are the names of all stadiums that did not have a concert in 2014?,extra,em_only,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),
