line_no,db_id,question,fail_cat,agg_ok,sel_ok,cond_ok,em,pred_sql,gold_sql,gold_struct,pred_struct
31,1-1046170-5,how many division  did not qualify for u.s. open cup in 2003,agg,False,True,True,False,SELECT COUNT(division) FROM wikisql_data WHERE year = 2003 AND u_s_open_cup = 'Did not qualify',SELECT col1 FROM table WHERE col5 = 'Did Not Qualify' AND col0 = 2003,"{'agg': 0, 'sel': 1, 'conds': [[5, 0, 'did not qualify'], [0, 0, 2003]], 'count_star': False}","{'agg': 3, 'sel': 1, 'conds': [[0, 0, 2003], [5, 0, 'did not qualify']], 'count_star': False}"
59,1-10733530-3,Name the total number of percentage growth 2000-2008 of uganda?,agg,False,True,True,False,SELECT growth_2000_2008 FROM wikisql_data WHERE nation = 'uganda',SELECT COUNT(col4) FROM table WHERE col0 = 'Uganda',"{'agg': 3, 'sel': 4, 'conds': [[0, 0, 'uganda']], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[0, 0, 'uganda']], 'count_star': False}"
71,1-10935205-1,The canadian airdate of 11 february 2008 applied to what series number?,agg,False,True,True,False,SELECT no_in_series FROM wikisql_data WHERE canadian_airdate = '11 February 2008',SELECT COUNT(col1) FROM table WHERE col3 = '11 February 2008',"{'agg': 3, 'sel': 1, 'conds': [[3, 0, '11 february 2008']], 'count_star': False}","{'agg': 0, 'sel': 1, 'conds': [[3, 0, '11 february 2008']], 'count_star': False}"
81,1-10992-3,How many foreigners in percentage terms had a population of 4.911?,agg,False,True,True,False,SELECT foreign_nationals_in FROM wikisql_data WHERE population = '4.911',SELECT COUNT(col5) FROM table WHERE col3 = '4.911',"{'agg': 3, 'sel': 5, 'conds': [[3, 0, 4.911]], 'count_star': False}","{'agg': 0, 'sel': 5, 'conds': [[3, 0, 4.911]], 'count_star': False}"
82,1-10992-3,What is the number of the city district of stadtteil where foreigners are 5.162?,agg,False,True,True,False,SELECT city_district_stadtteil FROM wikisql_data WHERE foreign_nationals = '5.162',SELECT COUNT(col1) FROM table WHERE col4 = '5.162',"{'agg': 3, 'sel': 1, 'conds': [[4, 0, 5.162]], 'count_star': False}","{'agg': 0, 'sel': 1, 'conds': [[4, 0, 5.162]], 'count_star': False}"
93,1-11210576-4,what's the total number of final epbeingode count with character being rick stetler,agg,False,True,True,False,SELECT SUM(final_episode_count) FROM wikisql_data WHERE character = 'Rick Stetler',SELECT COUNT(col6) FROM table WHERE col0 = 'Rick Stetler',"{'agg': 3, 'sel': 6, 'conds': [[0, 0, 'rick stetler']], 'count_star': False}","{'agg': 4, 'sel': 6, 'conds': [[0, 0, 'rick stetler']], 'count_star': False}"
96,1-11210576-4,"what's the total number of final epbeingode count with first epbeingode being ""l.a.""",agg,False,True,True,False,SELECT SUM(final_episode_count) FROM wikisql_data WHERE first_episode = 'L.A.',"SELECT COUNT(col6) FROM table WHERE col3 = '""L.A.""'","{'agg': 3, 'sel': 6, 'conds': [[3, 0, 'l.a.']], 'count_star': False}","{'agg': 4, 'sel': 6, 'conds': [[3, 0, 'l.a.']], 'count_star': False}"
134,1-1160304-2,What was the total number of weeks on peak for the Ireland Albums Top 75 chart?,agg,False,True,True,False,SELECT SUM(weeks_on_peak) FROM wikisql_data WHERE chart = 'Ireland Albums Top 75',SELECT COUNT(col4) FROM table WHERE col0 = 'Ireland Albums Top 75',"{'agg': 3, 'sel': 4, 'conds': [[0, 0, 'ireland albums top 75']], 'count_star': False}","{'agg': 4, 'sel': 4, 'conds': [[0, 0, 'ireland albums top 75']], 'count_star': False}"
145,1-11727969-1,what's the total number of species in the peruvian amazon with 8411 species in the world ,agg,False,True,True,False,SELECT SUM(species_in_the_peruvian_amazon) FROM wikisql_data WHERE species_in_the_world = 8411,SELECT COUNT(col3) FROM table WHERE col1 = 8411,"{'agg': 3, 'sel': 3, 'conds': [[1, 0, 8411]], 'count_star': False}","{'agg': 4, 'sel': 3, 'conds': [[1, 0, 8411]], 'count_star': False}"
228,1-1218784-1,What is the rank of manager Rob Mcdonald?,agg,False,True,True,False,SELECT rank FROM wikisql_data WHERE manager = 'Rob Mcdonald',SELECT COUNT(col2) FROM table WHERE col7 = 'Rob McDonald',"{'agg': 3, 'sel': 2, 'conds': [[7, 0, 'rob mcdonald']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[7, 0, 'rob mcdonald']], 'count_star': False}"
